date,anomaly_score,is_anomaly,_true_anomaly
2019-01-01,0.07225158741023277,0,0
2019-01-02,0.10415817383547532,0,0
2019-01-03,0.0655909435858415,0,0
2019-01-04,0.07566472597483032,0,0
2019-01-05,0.07384187079394698,0,0
2019-01-06,0.06356218409721257,0,0
2019-01-07,0.06595395449502678,0,0
2019-01-08,0.057002140932406395,0,0
2019-01-09,0.06368838319692573,0,0
2019-01-10,0.08035311951000938,0,0
2019-01-11,0.08219609074627234,0,0
2019-01-12,0.14485070450070356,0,0
2019-01-13,0.17081512687045253,0,0
2019-01-14,0.10979290979952777,0,0
2019-01-15,0.07737158986793939,0,0
2019-01-16,0.059569505609701465,0,0
2019-01-17,0.08735313791690225,0,0
2019-01-18,0.06622413196933147,0,0
2019-01-19,0.07363274627642223,0,0
2019-01-20,0.08271528804230571,0,0
2019-01-21,0.07612287885512067,0,0
2019-01-22,0.07103853921802927,0,0
2019-01-23,0.1377348259333762,0,0
2019-01-24,0.10062467262874619,0,0
2019-01-25,0.12476504722024168,0,0
2019-01-26,0.15616531056264898,0,0
2019-01-27,0.1712161179736089,0,0
2019-01-28,0.23778315771802508,0,0
2019-01-29,0.2657985540927215,0,0
2019-01-30,0.27410988246339507,0,0
2019-01-31,0.18835287023486447,0,0
2019-02-01,0.12130577403896294,0,0
2019-02-02,0.16382403193220732,0,0
2019-02-03,0.3592728935555406,1,0
2019-02-04,0.2669604674067283,0,0
2019-02-05,0.30034597152801423,0,0
2019-02-06,0.2503324239873361,0,0
2019-02-07,0.24368352409718835,0,0
2019-02-08,0.2663640174047167,0,0
2019-02-09,0.2542208473976522,0,0
2019-02-10,0.3223545885995104,1,0
2019-02-11,0.4169350616523251,1,0
2019-02-12,0.41237809964436845,1,0
2019-02-13,0.32976478868391634,1,0
2019-02-14,0.41025574699156964,1,0
2019-02-15,0.5717977954841164,1,0
2019-02-16,0.5004103613282199,1,0
2019-02-17,0.3282677416098678,1,0
2019-02-18,0.1835128378642554,0,0
2019-02-19,0.3112639391659563,1,0
2019-02-20,0.3998192053480132,1,0
2019-02-21,0.44738499316702035,1,0
2019-02-22,0.31460528736056326,1,0
2019-02-23,0.3387124989549066,1,0
2019-02-24,0.23886582016071262,0,0
2019-02-25,0.29355698952431925,0,0
2019-02-26,0.13103231506064925,0,0
2019-02-27,0.11547420872024067,0,0
2019-02-28,0.1216363473041822,0,0
2019-03-01,0.10359295091922943,0,0
2019-03-02,0.10284976469583411,0,0
2019-03-03,0.06874590781939252,0,0
2019-03-04,0.05205483140984406,0,0
2019-03-05,0.049841623296768986,0,0
2019-03-06,0.05443900710882655,0,0
2019-03-07,0.06851923406101922,0,0
2019-03-08,0.03062149054846661,0,0
2019-03-09,0.045550843693958634,0,0
2019-03-10,0.03694724158625282,0,0
2019-03-11,0.040035805054410054,0,0
2019-03-12,0.04272037700407955,0,0
2019-03-13,0.05651464662244689,0,0
2019-03-14,0.025194625541366096,0,0
2019-03-15,0.05492860053451601,0,0
2019-03-16,0.007949105855364978,0,0
2019-03-17,0.015515213780012837,0,0
2019-03-18,0.015020602820924215,0,0
2019-03-19,0.040525895339870194,0,0
2019-03-20,0.03216165100855232,0,0
2019-03-21,0.014534175374031818,0,0
2019-03-22,0.03250595473787936,0,0
2019-03-23,0.08297253800172083,0,0
2019-03-24,0.04115117968938785,0,0
2019-03-25,0.010795621286999447,0,0
2019-03-26,0.03808700603991236,0,0
2019-03-27,0.03735009827234602,0,0
2019-03-28,0.040621700238210046,0,0
2019-03-29,0.02561658024120316,0,0
2019-03-30,0.02984740393381767,0,0
2019-03-31,0.03163864805187713,0,0
2019-04-01,0.04737740173670392,0,0
2019-04-02,0.07342551383557051,0,0
2019-04-03,0.06720842203773877,0,0
2019-04-04,0.025237479676536063,0,0
2019-04-05,0.04780775789241202,0,0
2019-04-06,0.2297862416603873,0,0
2019-04-07,0.23315504630155895,0,0
2019-04-08,0.07220720474343861,0,0
2019-04-09,0.01386636546305583,0,0
2019-04-10,0.033856275089321056,0,0
2019-04-11,0.05769425475857,0,0
2019-04-12,0.05242865396784551,0,0
2019-04-13,0.026925528242913672,0,0
2019-04-14,0.13685603436532862,0,0
2019-04-15,0.1045361774056671,0,0
2019-04-16,0.1088515093713069,0,0
2019-04-17,0.13924092451519707,0,0
2019-04-18,0.17543891084322566,0,0
2019-04-19,0.18426897774731732,0,0
2019-04-20,0.11334011014862953,0,0
2019-04-21,0.09105958549964638,0,0
2019-04-22,0.2516357627170033,0,0
2019-04-23,0.17555766772828574,0,0
2019-04-24,0.1374717634079196,0,0
2019-04-25,0.1259151137056688,0,0
2019-04-26,0.10379675869072827,0,0
2019-04-27,0.16245898299893444,0,0
2019-04-28,0.29680937277726693,0,0
2019-04-29,0.183039819585747,0,0
2019-04-30,0.13358130177602529,0,0
2019-05-01,0.16999623890093593,0,0
2019-05-02,0.16636735371572423,0,0
2019-05-03,0.1106427129024834,0,0
2019-05-04,0.22638206872114516,0,0
2019-05-05,0.250476787733299,0,0
2019-05-06,0.17071653373800558,0,0
2019-05-07,0.1299222240789547,0,0
2019-05-08,0.2776002584128196,0,0
2019-05-09,0.2396174037645802,0,0
2019-05-10,0.21351698997532176,0,0
2019-05-11,0.25155063205117717,0,0
2019-05-12,0.16757253366256378,0,0
2019-05-13,0.12453336325312443,0,0
2019-05-14,0.06855231894801704,0,0
2019-05-15,0.06748043014558831,0,0
2019-05-16,0.11540436446513258,0,0
2019-05-17,0.06468226735885828,0,0
2019-05-18,0.12989580297089753,0,0
2019-05-19,0.1211335370025386,0,0
2019-05-20,0.12078644148925916,0,0
2019-05-21,0.05126006884170681,0,0
2019-05-22,0.029364655358041346,0,0
2019-05-23,0.07699222343430243,0,0
2019-05-24,0.07478497192067972,0,0
2019-05-25,0.10739499287056908,0,0
2019-05-26,0.07680919118122026,0,0
2019-05-27,0.06137414164400945,0,0
2019-05-28,0.057338620361952114,0,0
2019-05-29,0.07250201308158843,0,0
2019-05-30,0.06318132765873968,0,0
2019-05-31,0.06239689781321873,0,0
2019-06-01,0.06369131895040303,0,0
2019-06-02,0.07239893098063657,0,0
2019-06-03,0.07522264882696866,0,0
2019-06-04,0.08466841996570176,0,0
2019-06-05,0.047452148449691964,0,0
2019-06-06,0.0797505395416817,0,0
2019-06-07,0.039465807584430024,0,0
2019-06-08,0.2132092337522845,0,0
2019-06-09,0.2598619738587049,0,0
2019-06-10,0.033954001046609325,0,0
2019-06-11,0.035043901366063696,0,0
2019-06-12,0.07591437629185999,0,0
2019-06-13,0.066760406129212,0,0
2019-06-14,0.07794174741566703,0,0
2019-06-15,0.0508498346028691,0,0
2019-06-16,0.10103149361312086,0,0
2019-06-17,0.07224607585855894,0,0
2019-06-18,0.03339538075704643,0,0
2019-06-19,0.07990259778038351,0,0
2019-06-20,0.08288699277585716,0,0
2019-06-21,0.06744921325191672,0,0
2019-06-22,0.11396001180262776,0,0
2019-06-23,0.06737674355908062,0,0
2019-06-24,0.061502754450119754,0,0
2019-06-25,0.047151499973284605,0,0
2019-06-26,0.01618570590242983,0,0
2019-06-27,0.06011071118028189,0,0
2019-06-28,0.03800593574120153,0,0
2019-06-29,0.03996862565128087,0,0
2019-06-30,0.05459144885532645,0,0
2019-07-01,0.05291953024298265,0,0
2019-07-02,0.03157220432136572,0,0
2019-07-03,0.03344500644280979,0,0
2019-07-04,0.04875779531087812,0,0
2019-07-05,0.03872154185086468,0,0
2019-07-06,0.040779317955043186,0,0
2019-07-07,0.05342930812923083,0,0
2019-07-08,0.03792454584627647,0,0
2019-07-09,0.03538629812787477,0,0
2019-07-10,0.06335818755229129,0,0
2019-07-11,0.03313583209043051,0,0
2019-07-12,0.05053444842179174,0,0
2019-07-13,0.07375808238870224,0,0
2019-07-14,0.07801788510473233,0,0
2019-07-15,0.05263920649930432,0,0
2019-07-16,0.05572202810750285,0,0
2019-07-17,0.03662735302584634,0,0
2019-07-18,0.05817986910089977,0,0
2019-07-19,0.054628258078680283,0,0
2019-07-20,0.04120336572529333,0,0
2019-07-21,0.08980323011650307,0,0
2019-07-22,0.03994957945782258,0,0
2019-07-23,0.04841135861578129,0,0
2019-07-24,0.0716134121553792,0,0
2019-07-25,0.06037898464779796,0,0
2019-07-26,0.034469998772925996,0,0
2019-07-27,0.03214646550799198,0,0
2019-07-28,0.05472116893069655,0,0
2019-07-29,0.029591965857423713,0,0
2019-07-30,0.027508981888313137,0,0
2019-07-31,0.019584829165920324,0,0
2019-08-01,0.05900764638204273,0,0
2019-08-02,0.04761964335141912,0,0
2019-08-03,0.03940716086938086,0,0
2019-08-04,0.07370550522917987,0,0
2019-08-05,0.06228410822355042,0,0
2019-08-06,0.04674679300073829,0,0
2019-08-07,0.04076774582644085,0,0
2019-08-08,0.0383356497994763,0,0
2019-08-09,0.0351852400008491,0,0
2019-08-10,0.02826906837946076,0,0
2019-08-11,0.025143415797849213,0,0
2019-08-12,0.039067483233879444,0,0
2019-08-13,0.046325158043197506,0,0
2019-08-14,0.04735932344130461,0,0
2019-08-15,0.05819731093997191,0,0
2019-08-16,0.03303183733049497,0,0
2019-08-17,0.04733019444181685,0,0
2019-08-18,0.02005231482572627,0,0
2019-08-19,0.04036985319288134,0,0
2019-08-20,0.04800751186525661,0,0
2019-08-21,0.044301824345586445,0,0
2019-08-22,0.039444899717506365,0,0
2019-08-23,0.0792366367424698,0,0
2019-08-24,0.06969380296364322,0,0
2019-08-25,0.05277421416741473,0,0
2019-08-26,0.0507144512132507,0,0
2019-08-27,0.0338636184017488,0,0
2019-08-28,0.03905748177866706,0,0
2019-08-29,0.04108442577872368,0,0
2019-08-30,0.07413816297404952,0,0
2019-08-31,0.10113239159991919,0,0
2019-09-01,0.08217008774598938,0,0
2019-09-02,0.09235420860202878,0,0
2019-09-03,0.07658029105995293,0,0
2019-09-04,0.06509513469410047,0,0
2019-09-05,0.060941166730190344,0,0
2019-09-06,0.08904612177920251,0,0
2019-09-07,0.07651725011735795,0,0
2019-09-08,0.0711299652429202,0,0
2019-09-09,0.06456846167982029,0,0
2019-09-10,0.08578426473959366,0,0
2019-09-11,0.08603860536093022,0,0
2019-09-12,0.09573254405697788,0,0
2019-09-13,0.08553037938335453,0,0
2019-09-14,0.2410143555652346,0,0
2019-09-15,0.3041495086263621,1,0
2019-09-16,0.15573957771683677,0,0
2019-09-17,0.1326258797234819,0,0
2019-09-18,0.15709382593880714,0,0
2019-09-19,0.14277747135930188,0,0
2019-09-20,0.1747013713217452,0,0
2019-09-21,0.24141626256714982,0,0
2019-09-22,0.23588715761821621,0,0
2019-09-23,0.1277699296698006,0,0
2019-09-24,0.15899533700660137,0,0
2019-09-25,0.1760665582471006,0,0
2019-09-26,0.2284692721211189,0,0
2019-09-27,0.2583171391734042,0,0
2019-09-28,0.28214155713857914,0,0
2019-09-29,0.25033431073269224,0,0
2019-09-30,0.30332240752053996,1,0
2019-10-01,0.28009762535711613,0,0
2019-10-02,0.2010676542917895,0,0
2019-10-03,0.21629062896409373,0,0
2019-10-04,0.2637049384787608,0,0
2019-10-05,0.4684976797719477,1,0
2019-10-06,0.40391632338096556,1,0
2019-10-07,0.2788553694333855,0,0
2019-10-08,0.30044730433531686,0,0
2019-10-09,0.25265063133509097,0,0
2019-10-10,0.2850204810304774,0,0
2019-10-11,0.2827438152014007,0,0
2019-10-12,0.4037482281619982,1,0
2019-10-13,0.2525032839086093,0,0
2019-10-14,0.20392649346419273,0,0
2019-10-15,0.22522754059996095,0,0
2019-10-16,0.17278403709039458,0,0
2019-10-17,0.22758513088054,0,0
2019-10-18,0.20638060993348423,0,0
2019-10-19,0.13734214485103982,0,0
2019-10-20,0.19906759393941714,0,0
2019-10-21,0.22886369928107494,0,0
2019-10-22,0.18750015308228948,0,0
2019-10-23,0.18891530485950897,0,0
2019-10-24,0.1836751112431602,0,0
2019-10-25,0.15836249457006757,0,0
2019-10-26,0.14665100114590274,0,0
2019-10-27,0.11609984488837181,0,0
2019-10-28,0.1253757468470449,0,0
2019-10-29,0.11493033114892015,0,0
2019-10-30,0.10844238749514543,0,0
2019-10-31,0.10409411495415168,0,0
2019-11-01,0.0967801113724099,0,0
2019-11-02,0.11081130246408395,0,0
2019-11-03,0.11853539766000853,0,0
2019-11-04,0.059711180504658526,0,0
2019-11-05,0.07603027536903548,0,0
2019-11-06,0.024683760220572552,0,0
2019-11-07,0.04118501474030885,0,0
2019-11-08,0.0407350514635577,0,0
2019-11-09,0.06085515613830024,0,0
2019-11-10,0.020123733836212587,0,0
2019-11-11,0.04230740272869081,0,0
2019-11-12,0.011207210068559086,0,0
2019-11-13,0.02355498689481696,0,0
2019-11-14,0.029829735073702318,0,0
2019-11-15,0.027450252301257676,0,0
2019-11-16,0.03900144235568968,0,0
2019-11-17,0.02593925542380935,0,0
2019-11-18,0.02181417489505491,0,0
2019-11-19,0.042932986135360694,0,0
2019-11-20,0.049138938705146615,0,0
2019-11-21,0.03302056504977951,0,0
2019-11-22,0.06275762953698132,0,0
2019-11-23,0.021506562369091722,0,0
2019-11-24,0.0308668005609656,0,0
2019-11-25,0.03951780749625887,0,0
2019-11-26,0.027460702557397146,0,0
2019-11-27,0.03321345341544102,0,0
2019-11-28,0.05261190922125616,0,0
2019-11-29,0.027119342406248043,0,0
2019-11-30,0.041683934979089066,0,0
2019-12-01,0.037298657399554826,0,0
2019-12-02,0.06141290362585415,0,0
2019-12-03,0.02354533006340049,0,0
2019-12-04,0.03062307472609147,0,0
2019-12-05,0.0280866297394499,0,0
2019-12-06,0.04786583346553791,0,0
2019-12-07,0.06823097549731612,0,0
2019-12-08,0.04985497295855673,0,0
2019-12-09,0.03286313261913933,0,0
2019-12-10,0.026531941799144976,0,0
2019-12-11,0.0578560542944834,0,0
2019-12-12,0.08975286979497732,0,0
2019-12-13,0.051450117358329744,0,0
2019-12-14,0.0521144537636759,0,0
2019-12-15,0.0944752891625845,0,0
2019-12-16,0.15186133218167308,0,0
2019-12-17,0.07482040523593911,0,0
2019-12-18,0.11080263143472355,0,0
2019-12-19,0.09576555471472664,0,0
2019-12-20,0.10778649096821245,0,0
2019-12-21,0.08458027099479495,0,0
2019-12-22,0.08911026667550337,0,0
2019-12-23,0.05837274657736479,0,0
2019-12-24,0.08362426680089748,0,0
2019-12-25,0.07450700758716722,0,0
2019-12-26,0.08266336913789005,0,0
2019-12-27,0.0947062965838277,0,0
2019-12-28,0.12150935097029268,0,0
2019-12-29,0.18195303074695518,0,0
2019-12-30,0.1606504477848295,0,0
2019-12-31,0.15501643070802562,0,0
2020-01-01,0.1827086199148493,0,0
2020-01-02,0.17653737836134664,0,0
2020-01-03,0.13235683966133022,0,0
2020-01-04,0.21821256718506132,0,0
2020-01-05,0.1697506605108234,0,0
2020-01-06,0.18681972159706609,0,0
2020-01-07,0.24063363786188008,0,0
2020-01-08,0.17820390519252552,0,0
2020-01-09,0.19730910211502115,0,0
2020-01-10,0.19791069616599738,0,0
2020-01-11,0.28920032633105397,0,0
