month,industrial_yoy,pmi,retail_yoy,power_consumption_yoy,electricity_price_index,renewable_share
2023-01-01,4.512585262242912,50.08470444135294,5.123746471299275,4.20319011629368,1.1464753761067203,0.185122353428138
2023-02-01,3.8081520149672903,49.67680817080503,5.192588035209438,3.650958180731264,1.4659598767999902,0.1905513346997914
2023-03-01,4.854997817788919,50.01706318181226,5.606405716778058,4.725434137212806,1.60559234221182,0.1924143757273803
2023-04-01,5.549728459650572,50.38548571059,6.438802993759607,5.003310094168111,1.8991278676625905,0.1982856894641103
2023-05-01,4.044231589967579,49.38947220927779,4.752005890411102,3.8085736123739458,1.9274159505168529,0.2085697944282041
2023-06-01,3.291654276670245,49.285034595196144,4.425350469798121,3.637205756551363,1.942560348237954,0.2061596827090198
2023-07-01,4.337324256054014,49.439970831606665,4.983097140645909,3.5377853382365525,2.1719227938599928,0.2073090605429852
2023-08-01,3.4896085175299607,49.427609080127695,4.596680325220564,3.90512469121975,1.8115003528434943,0.205090425309132
2023-09-01,3.7184668011941104,49.601410295522186,5.1482446674101725,3.6401384794362808,1.903738792216592,0.2042997284187303
2023-10-01,3.217453043025605,49.758904564801306,4.3372349360074,3.5070562863395893,1.842706950403908,0.2144734568933861
2023-11-01,4.687307888612167,49.72892321390922,5.225737506265185,4.145406797491932,1.878036728304612,0.2201120873037857
2023-12-01,5.593750667151985,50.355205437593,5.782692675800498,4.974832623629542,1.6594445605402668,0.2340858403510445
2024-01-01,5.233695812248512,49.90854090950564,5.474654599150935,5.395272372284079,1.8680968684079664,0.2273033862592721
2024-02-01,5.836340098236304,50.500251935969416,6.898333622599326,5.386599308751797,1.627517555710209,0.2354616544574427
2024-03-01,6.061961485354834,50.67951144132314,6.639181099789594,6.230798124927551,1.3138707609337348,0.229612922060939
2024-04-01,5.780993435898712,50.430932818228406,6.2359558779964,5.463130423064188,1.246447143460776,0.2285425113145413
2024-05-01,6.07890264356415,50.56159117399503,6.653152194896617,5.449544954306913,1.3061651767182232,0.2329049516005188
2024-06-01,5.248187274682849,50.26646606117067,6.046114914261499,4.517812226595491,1.2468402137653751,0.2373877740475681
2024-07-01,5.573012284884213,50.36557569095039,6.726266052042953,5.638030570034389,1.2897453234473713,0.2575534270902632
2024-08-01,5.818516529415143,50.3171418895337,6.329106028014374,5.396494468473563,1.3087788462411962,0.2428977668811754
2024-09-01,5.628987330493255,50.494051224190514,6.066963657475464,5.492600461001078,0.8323996682758499,0.2559005004398094
2024-10-01,5.181481605916308,50.10831879810178,5.8457472694730175,4.999836174378059,0.5414662413057088,0.2484954804097387
2024-11-01,6.434433958011392,50.33051619302231,5.919148082508518,6.384474899155854,0.3140716061676425,0.2625459598163759
2024-12-01,6.032697392281091,50.28485379971306,5.891140793128462,5.676583489722495,0.6445730168081504,0.2623097057966352
