timestamp,load_mw,region,sensor_quality,anomaly_label,anomaly_cause
2023-01-01 00:00:00+08:00,975.4395517644672,杭州示范区,1.0,0,normal
2023-01-01 01:00:00+08:00,891.5618382682002,杭州示范区,1.0,0,normal
2023-01-01 02:00:00+08:00,934.9033219889066,杭州示范区,1.0,0,normal
2023-01-01 03:00:00+08:00,894.5253341643687,杭州示范区,1.0,0,normal
2023-01-01 04:00:00+08:00,918.4774307493828,杭州示范区,1.0,0,normal
2023-01-01 05:00:00+08:00,924.3437060258858,杭州示范区,1.0,0,normal
2023-01-01 06:00:00+08:00,979.8422270163333,杭州示范区,1.0,0,normal
2023-01-01 07:00:00+08:00,1036.1001075631705,杭州示范区,1.0,0,normal
2023-01-01 08:00:00+08:00,1214.2876035808863,杭州示范区,1.0,0,normal
2023-01-01 09:00:00+08:00,1183.6124112509588,杭州示范区,1.0,0,normal
2023-01-01 10:00:00+08:00,1293.0151888642536,杭州示范区,1.0,0,normal
2023-01-01 11:00:00+08:00,1298.0785173750871,杭州示范区,1.0,0,normal
2023-01-01 12:00:00+08:00,1263.3331989814635,杭州示范区,1.0,0,normal
2023-01-01 13:00:00+08:00,1288.9798803946942,杭州示范区,1.0,0,normal
2023-01-01 14:00:00+08:00,1300.9725759018925,杭州示范区,1.0,0,normal
2023-01-01 15:00:00+08:00,1189.283333497899,杭州示范区,1.0,0,normal
2023-01-01 16:00:00+08:00,1214.2118344802464,杭州示范区,1.0,0,normal
2023-01-01 17:00:00+08:00,1171.7571479438682,杭州示范区,1.0,0,normal
2023-01-01 18:00:00+08:00,1181.472810144417,杭州示范区,1.0,0,normal
2023-01-01 19:00:00+08:00,1218.2176792953296,杭州示范区,1.0,0,normal
2023-01-01 20:00:00+08:00,1147.5455210487085,杭州示范区,1.0,0,normal
2023-01-01 21:00:00+08:00,1026.5933711378134,杭州示范区,1.0,0,normal
2023-01-01 22:00:00+08:00,1026.7836738956644,杭州示范区,1.0,0,normal
2023-01-01 23:00:00+08:00,1021.8508558031682,杭州示范区,1.0,0,normal
2023-01-02 00:00:00+08:00,1119.7395884757157,杭州示范区,1.0,0,normal
2023-01-02 01:00:00+08:00,1070.2964949569528,杭州示范区,1.0,0,normal
2023-01-02 02:00:00+08:00,1040.9493162231338,杭州示范区,1.0,0,normal
2023-01-02 03:00:00+08:00,1039.8741357158017,杭州示范区,1.0,0,normal
2023-01-02 04:00:00+08:00,1058.0222232637584,杭州示范区,1.0,0,normal
2023-01-02 05:00:00+08:00,1069.35340136969,杭州示范区,1.0,0,normal
2023-01-02 06:00:00+08:00,1115.4108908098683,杭州示范区,1.0,0,normal
2023-01-02 07:00:00+08:00,1136.6452043316333,杭州示范区,1.0,0,normal
2023-01-02 08:00:00+08:00,1294.3247024341342,杭州示范区,1.0,0,normal
2023-01-02 09:00:00+08:00,1308.6167170845667,杭州示范区,1.0,0,normal
2023-01-02 10:00:00+08:00,1391.172568722405,杭州示范区,1.0,0,normal
2023-01-02 11:00:00+08:00,1379.215311512353,杭州示范区,1.0,0,normal
2023-01-02 12:00:00+08:00,1405.4958077892131,杭州示范区,1.0,0,normal
2023-01-02 13:00:00+08:00,1368.4150538001463,杭州示范区,1.0,0,normal
2023-01-02 14:00:00+08:00,1340.046492233069,杭州示范区,1.0,0,normal
2023-01-02 15:00:00+08:00,1374.1486352909994,杭州示范区,1.0,0,normal
2023-01-02 16:00:00+08:00,1286.2047178676428,杭州示范区,1.0,0,normal
2023-01-02 17:00:00+08:00,1339.1676695042456,杭州示范区,1.0,0,normal
2023-01-02 18:00:00+08:00,1304.829749708054,杭州示范区,1.0,0,normal
2023-01-02 19:00:00+08:00,1284.222848326497,杭州示范区,1.0,0,normal
2023-01-02 20:00:00+08:00,1293.0437452440046,杭州示范区,1.0,0,normal
2023-01-02 21:00:00+08:00,1169.187910286212,杭州示范区,1.0,0,normal
2023-01-02 22:00:00+08:00,1179.9663466406123,杭州示范区,1.0,0,normal
2023-01-02 23:00:00+08:00,1121.067188074758,杭州示范区,1.0,0,normal
2023-01-03 00:00:00+08:00,1121.1166785049618,杭州示范区,1.0,0,normal
2023-01-03 01:00:00+08:00,1079.8755681385055,杭州示范区,1.0,0,normal
2023-01-03 02:00:00+08:00,1042.3470068487338,杭州示范区,1.0,0,normal
2023-01-03 03:00:00+08:00,1011.7642472348458,杭州示范区,1.0,0,normal
2023-01-03 04:00:00+08:00,1018.69309585442,杭州示范区,1.0,0,normal
2023-01-03 05:00:00+08:00,1045.2260316254656,杭州示范区,1.0,0,normal
2023-01-03 06:00:00+08:00,1099.8341053685076,杭州示范区,1.0,0,normal
2023-01-03 07:00:00+08:00,1195.0886273489748,杭州示范区,1.0,0,normal
2023-01-03 08:00:00+08:00,1301.9685806538914,杭州示范区,1.0,0,normal
2023-01-03 09:00:00+08:00,1353.2300719425095,杭州示范区,1.0,0,normal
2023-01-03 10:00:00+08:00,1393.3103047188513,杭州示范区,1.0,0,normal
2023-01-03 11:00:00+08:00,1372.6663011558892,杭州示范区,1.0,0,normal
2023-01-03 12:00:00+08:00,1342.036497045281,杭州示范区,1.0,0,normal
2023-01-03 13:00:00+08:00,1418.580911680895,杭州示范区,1.0,0,normal
2023-01-03 14:00:00+08:00,1381.7253759243276,杭州示范区,1.0,0,normal
2023-01-03 15:00:00+08:00,1342.412084922159,杭州示范区,1.0,0,normal
2023-01-03 16:00:00+08:00,1320.6587020616078,杭州示范区,1.0,0,normal
2023-01-03 17:00:00+08:00,1332.6444940641936,杭州示范区,1.0,0,normal
2023-01-03 18:00:00+08:00,1263.286297854988,杭州示范区,1.0,0,normal
2023-01-03 19:00:00+08:00,1311.5953003217633,杭州示范区,1.0,0,normal
2023-01-03 20:00:00+08:00,1268.9412564941608,杭州示范区,1.0,0,normal
2023-01-03 21:00:00+08:00,1139.5706852894757,杭州示范区,1.0,0,normal
