date,electricity,_true_anomaly,_synthetic_temp
2019-01-01,88.40222654527585,0,10.414103953971994
2019-01-02,105.20108769668241,0,4.312891922723354
2019-01-03,106.59333135009192,0,5.566116690560642
2019-01-04,104.6436656999389,0,7.448828065888252
2019-01-05,82.43643828161113,0,7.171724264735767
2019-01-06,84.97601510235239,0,5.434940335006404
2019-01-07,105.12174656522954,0,6.113586515644712
2019-01-08,105.49299754115715,0,5.255683499727194
2019-01-09,107.57113340082164,0,3.960585158137455
2019-01-10,103.97925084353463,0,5.882799026996038
2019-01-11,106.52325297490943,0,6.0765963656000315
2019-01-12,90.1244352907867,0,3.2052494707872787
2019-01-13,92.10567401291814,0,0.2793943116354711
2019-01-14,109.98969177585805,0,3.67605997668679
2019-01-15,108.29775072404887,0,4.223959386688348
2019-01-16,106.29533513588106,0,4.144438842670926
2019-01-17,109.46511519458888,0,3.2039928146474113
2019-01-18,106.29057205486414,0,4.08575225083193
2019-01-19,88.21217047742714,0,4.669872699897103
2019-01-20,86.35533044938778,0,4.9241371068922
2019-01-21,104.87385180760542,0,4.534401114737858
2019-01-22,100.72251557661984,0,6.635711836764267
2019-01-23,103.15415318019036,0,6.011151390270754
2019-01-24,105.41068290091772,0,0.8921411549741922
2019-01-25,97.54193417949051,0,5.8831350170893675
2019-01-26,82.02679128127436,0,1.8707099671040215
2019-01-27,76.03943053904108,0,7.7190764391645885
2019-01-28,93.10669754282131,0,5.063958843137611
2019-01-29,89.41474778381082,0,6.608465917651365
2019-01-30,90.89847968036803,0,3.308800748828971
2019-01-31,89.50602799914114,0,5.424290917556249
2019-02-01,83.24913061933249,0,7.506389642654186
2019-02-02,66.91951026759328,0,8.769765017119838
2019-02-03,68.78923130672243,0,6.380956171439253
2019-02-04,74.28146668481887,0,4.369211869335034
2019-02-05,70.17753919294093,0,9.953551990818045
2019-02-06,75.2098739289377,0,2.341892273561085
2019-02-07,70.98567618455343,0,6.539529634772523
2019-02-08,73.96736376363326,0,2.9512578805947234
2019-02-09,60.61877099794784,0,5.016991294434357
2019-02-10,59.345626938442614,0,7.024878458969327
2019-02-11,96.71506165466415,0,10.56710328539683
2019-02-12,103.75573077961919,0,3.708597041328413
2019-02-13,102.51053654742566,0,7.062753876551401
2019-02-14,107.77744489993421,0,3.354902412465594
2019-02-15,107.32643613090194,0,4.521640208612216
2019-02-16,87.26883568277196,0,6.584604285778622
2019-02-17,88.42202132103924,0,5.451592060175403
2019-02-18,106.69978658188583,0,6.9958006759828555
2019-02-19,106.7849445609356,0,6.169371898545967
2019-02-20,107.15480826644033,0,6.190827300466218
2019-02-21,110.82384061138477,0,3.7001270744725097
2019-02-22,102.47249465860759,0,7.833477406144561
2019-02-23,89.04512982492444,0,4.315749664544798
2019-02-24,86.49243816832924,0,6.704314079899618
2019-02-25,101.24657838785498,0,10.442377403352072
2019-02-26,101.84355471173355,0,11.063684615226808
2019-02-27,106.64529843411587,0,8.369762463634984
2019-02-28,105.05982024550016,0,6.663197579230911
2019-03-01,109.38208459793637,0,5.578107147488389
2019-03-02,85.02382574485146,0,6.785999603842779
2019-03-03,83.59645887891938,0,11.796311865946297
2019-03-04,105.96851899130868,0,7.3903708023330505
2019-03-05,103.4411723749541,0,12.87701436406395
2019-03-06,104.76939731540938,0,9.118466043151063
2019-03-07,103.83830103372338,0,10.171690165365593
2019-03-08,103.96207954146395,0,8.495853614989626
2019-03-09,83.67977748181204,0,9.945859205109587
2019-03-10,88.95364027516197,0,6.456291166595804
2019-03-11,107.00576615561674,0,6.316895372475889
2019-03-12,100.84258912305766,0,10.488408509108035
2019-03-13,101.09985289687131,0,11.74313542009859
2019-03-14,101.82507336493568,0,9.706287982180385
2019-03-15,105.54340811035095,0,8.512204655357262
2019-03-16,84.60974835040143,0,11.30260533793897
2019-03-17,85.33530114406477,0,10.529850076321233
2019-03-18,102.37817762561363,0,15.491036348657527
2019-03-19,106.73426669877587,0,7.247423493833688
2019-03-20,106.51128118415896,0,8.054720633613139
2019-03-21,105.53021705379754,0,7.681010894715204
2019-03-22,103.8962432773753,0,14.080235120415379
2019-03-23,83.80543547408132,0,10.902513859697205
2019-03-24,84.21537385173035,0,11.585442014395621
2019-03-25,102.7097816311316,0,12.691582505511398
2019-03-26,101.4848135267927,0,15.891220098887914
2019-03-27,105.40343003755174,0,8.98141636606102
2019-03-28,102.6843649905949,0,12.601926554132154
2019-03-29,103.46875549285524,0,11.371354224608787
2019-03-30,87.04951006902108,0,8.460539340946035
2019-03-31,85.45728640927588,0,13.68042593688071
2019-04-01,104.59298206434858,0,14.41548695442176
2019-04-02,103.44280390647917,0,16.27907743019424
2019-04-03,105.3183787144339,0,8.102935836364972
2019-04-04,103.54449608361095,0,10.40758021320006
2019-04-05,88.9502619608451,0,12.100798935603539
2019-04-06,73.23430605866076,0,11.61898927024407
2019-04-07,73.39942180447969,0,13.555349384750329
2019-04-08,102.25950389876625,0,11.197633525485875
2019-04-09,104.47085047971815,0,15.366287115927197
2019-04-10,102.47274422383367,0,12.679215942429478
2019-04-11,103.32972227277683,0,12.293526445269759
2019-04-12,105.98047938978293,0,20.064523633716654
2019-04-13,84.81596773000285,0,15.586115835335686
2019-04-14,86.24412666491158,0,16.39362609149275
2019-04-15,102.60270203982093,0,17.17827527071492
2019-04-16,103.7741140730812,0,17.657041432398874
2019-04-17,102.64579062222731,0,18.027235410740705
2019-04-18,103.6346088276119,0,17.200975423058
2019-04-19,105.51226525251951,0,21.84870879620923
2019-04-20,83.25675841607179,0,19.96618448086699
